angle,resolution,TGPL,TGP,TGPLM,TGPH,TGPLMH,TG,TGPLH,GP,P,TPL,TPH,PL,G,TGPM,TGPMH,GPL,TP,T,TGBP,TPLH,GW,W,PH,TPLM,TGWP,TPLMH,TPMH,TGW,TGB,GB,B,GBP,TGBWP,GPH,TPM,TGBPL,PM,PLH,TGWPL,PLM,GPLM,GPM,BW,TGBW,WP,GWP,GPLH,L,TGBWPL,PLMH,BP,PMH,GBW,TGBPLMH,TW,GBWP,GPLMH,TGBPLM,H,TGBWPLMH,TGBPH,TGL,TWP,TGWPLM,TBP,TGBWPLM,GPMH,M,TGBPM,BWP,TGWPH,WPL,GBPL,TGWPLMH,TGBPLH,GWPL,TB,TGH,TGBWPM,TGBWPH,TWPL,TBWP,BPL,TGWPLH,TBPL,TGBWPLH,TBW,TGWPM,GBPM,TGBPMH,GBPH,GL,WL,GBWPL,WPH,TL,GWPH,TGM,TGBL,TH,LH,TBPH,TWPH,TBWPL,TGWL,GH,BWPL,BL,LM,TGWPMH,TBPM,TGLM,GBL,BPH,GBWPM,GBPLM,BPM,GBWPH,GM,TGBWPMH,TGBWL,GWPLH,TBPLM,GWPM,WPM,TBL,MH,GWPLM,TM,TBPLH,TWPLH,TBWPM,WPLH,TWPLM,TGLH,BWPM,WPLM,TGBH,TGMH,GBWL,GBPLH,BWL,LMH,TBPMH,GBWM,WH,BPLM,GBWPLM,TWPM,GBPMH,TGBM,GBH,TBWPH,TBPLMH,TLH,BWPH,TGWM,TBWPLM,TBWPLH,TGLMH,GLH,GWL,GBM,TWL,GBPLMH,TLM,BH,TGBWM,TLMH,TGBWH,BPLH,GLM,GWPMH,GBWPLH,BM,GWH,GWPLMH,BPMH,BWPLM,TGWH,TMH,BWM,GLMH,TBWPLMH,BPLMH,WPMH,TGBLM,BWPLH,WPLMH,GBWPMH,GMH,GWM,TBWL,TBH,TGWLH,TWPLMH,TGWMH,TWPMH,TWM,GBWPLMH,TGWLM,TBWPMH,TGBLH,GWLH,TBM,BMH,GBWH,TGBWLH,TBLM,WLH
80,50,96448,37843,26600,18403,12217,12668,10947,7731,5793,5453,5758,4527,4593,5269,5325,2793,2381,2990,3966,3668,3005,2785,1942,2478,2840,3225,1877,1930,1983,1723,1411,1459,1057,1010,654,992,860,886,707,672,609,617,711,747,598,566,543,246,194,450,395,304,389,14,311,330,334,116,72,NA,210,132,202,45,186,11,125,114,149,136,77,133,135,1,42,112,100,41,36,13,71,59,61,13,67,1,44,46,44,20,40,19,30,35,33,9,26,13,28,5,4,28,23,22,14,2,10,11,3,1,15,5,11,9,4,9,9,4,5,NA,8,5,4,7,7,7,1,4,3,5,4,5,2,3,1,4,2,3,NA,4,2,2,NA,3,3,2,3,NA,2,1,2,3,1,2,NA,1,1,NA,1,NA,NA,1,NA,3,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,50,96265,38069,26254,18424,11752,12746,10910,7763,5876,5561,5770,4616,4796,5328,5239,2803,2452,3046,3781,3705,2952,2792,2008,2503,2795,3238,1917,1945,1983,1712,1392,1475,1004,1023,673,985,867,900,712,676,626,629,744,756,591,559,554,249,196,453,411,290,376,18,324,312,334,98,105,NA,199,144,218,35,198,13,130,114,117,141,72,136,127,NA,42,133,89,45,43,13,74,59,62,10,61,1,42,39,37,22,31,21,30,28,30,15,26,10,20,6,5,20,15,16,20,4,12,13,1,2,11,6,8,9,6,12,9,7,5,NA,4,4,9,4,7,5,1,6,NA,2,4,4,3,3,NA,3,3,4,2,3,NA,2,NA,3,3,4,1,1,2,3,1,1,2,NA,NA,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,50,96355,37968,26621,18327,12319,12611,11183,7523,5796,5453,5833,4599,4644,5201,5241,2709,2416,3010,3847,3601,2920,2766,1956,2583,2844,3266,1826,1950,1981,1689,1384,1504,1021,1005,626,1092,892,911,699,621,619,560,756,763,582,592,505,244,185,439,411,276,400,20,311,327,306,117,93,NA,213,143,226,43,190,13,145,120,149,129,69,139,136,1,49,122,102,41,42,14,70,56,63,13,64,2,57,40,39,18,28,15,27,29,40,13,24,7,16,6,4,21,24,16,18,5,16,12,3,4,12,4,9,10,8,6,4,5,7,1,9,5,7,6,3,3,2,4,3,1,2,3,4,4,1,4,3,3,NA,3,2,3,NA,4,2,3,2,1,2,4,3,1,2,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,50,96446,37695,26997,18321,12435,12611,11409,7487,5829,5374,5723,4468,4635,5184,5274,2702,2368,2894,3873,3546,2956,2730,1948,2661,2817,3211,1816,2028,1973,1729,1368,1450,1072,1007,619,1044,866,890,721,645,612,540,745,761,563,590,517,231,188,448,415,274,375,18,302,311,333,121,86,NA,219,147,206,50,199,10,137,112,151,145,73,145,158,3,46,124,93,42,41,12,77,61,66,15,81,1,58,46,42,25,40,17,34,22,34,14,27,8,19,2,7,18,17,17,16,NA,7,12,2,4,12,3,10,8,14,9,8,5,4,NA,7,3,7,7,8,4,2,3,4,6,2,6,1,4,2,4,4,3,NA,2,4,1,NA,3,3,2,3,NA,3,3,3,1,1,NA,NA,2,3,1,1,NA,3,NA,1,1,NA,NA,1,3,NA,3,1,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,50,96511,37692,27200,18280,12687,12543,11495,7322,5805,5328,5749,4427,4613,5151,5318,2709,2285,2893,3986,3473,2971,2791,1919,2488,2830,3195,1828,2022,1975,1709,1351,1478,1066,1007,613,1047,866,862,742,616,595,616,750,749,595,590,513,239,186,403,391,276,375,23,303,319,299,120,114,NA,199,136,211,53,197,14,131,118,158,152,73,150,169,NA,41,112,100,44,40,17,62,64,61,16,75,3,41,47,32,18,32,19,28,18,27,10,29,15,23,8,4,20,17,20,13,3,9,16,1,1,19,7,9,8,8,11,10,5,4,NA,9,7,5,2,5,3,1,7,4,7,NA,4,2,3,NA,3,1,4,NA,3,1,2,NA,4,1,4,3,1,2,2,1,2,3,NA,NA,1,NA,1,2,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,2,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,50,96339,37633,27276,18385,12749,12553,11434,7324,5775,5257,5733,4421,4669,5239,5293,2763,2291,2934,3942,3482,2961,2783,1915,2481,2915,3269,1800,1967,1965,1705,1334,1445,1078,991,587,1093,874,857,733,607,600,573,758,750,608,607,531,234,196,423,421,285,404,22,307,291,341,118,85,NA,221,132,196,56,176,12,116,110,153,159,85,123,153,NA,38,114,91,36,43,18,73,69,60,13,69,2,54,44,40,17,29,14,29,25,31,10,28,6,20,6,8,23,12,20,17,4,12,16,6,3,10,1,8,10,11,11,8,5,4,NA,8,5,13,10,5,2,1,5,2,3,5,5,3,5,3,4,3,8,NA,4,2,2,NA,4,3,1,3,2,1,2,1,3,1,1,1,NA,2,1,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,1,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,50,96368,37516,27126,18354,12935,12523,11379,7455,5675,5236,5714,4466,4631,5183,5472,2715,2276,2941,3927,3594,2953,2801,1875,2518,2859,3210,1834,1985,1966,1693,1377,1487,1069,1002,608,1120,888,871,752,632,561,566,760,758,621,594,505,215,181,435,412,272,368,26,320,327,313,134,77,1,235,131,187,58,175,14,117,99,146,130,80,133,150,NA,51,120,92,41,42,15,88,66,68,14,70,3,57,40,39,19,35,16,28,30,35,15,21,16,23,8,6,23,24,13,21,2,13,12,1,4,11,1,8,9,10,9,9,7,3,NA,4,5,4,5,4,3,2,5,3,5,3,3,4,2,NA,3,4,6,NA,5,4,4,1,6,1,2,5,1,2,2,2,2,2,1,1,1,2,1,1,1,NA,1,1,1,NA,1,1,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,50,96373,37521,27098,18483,12824,12565,11296,7612,5720,5276,5682,4432,4526,5181,5360,2759,2327,2956,3946,3638,2983,2797,1835,2437,2900,3285,1786,2016,1963,1725,1367,1474,1083,996,612,1032,850,883,687,641,611,606,730,740,595,597,537,234,183,426,407,266,395,22,303,324,325,118,87,NA,221,122,202,52,184,16,120,103,160,143,74,153,144,NA,48,128,96,50,28,16,70,63,65,13,76,2,57,44,29,18,39,14,31,27,28,12,31,10,22,5,7,25,18,20,16,5,9,15,2,3,14,6,10,5,7,13,8,5,5,NA,8,8,9,5,8,7,NA,4,3,2,2,3,1,5,1,2,5,5,1,2,1,1,NA,4,2,3,4,1,6,2,NA,1,2,NA,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,50,96433,37777,26729,18373,12690,12610,11237,7518,5821,5372,5726,4553,4617,5194,5351,2714,2318,3006,3944,3619,2934,2800,1898,2553,2917,3240,1795,1956,1967,1693,1401,1427,1060,1001,631,1043,884,918,745,625,596,579,721,743,577,585,504,213,208,435,416,288,389,22,306,326,316,107,76,NA,192,132,207,43,170,11,128,101,141,134,78,145,141,1,46,132,101,36,47,15,66,51,58,10,69,2,43,32,41,16,36,22,30,28,34,7,29,7,20,9,9,16,20,21,17,5,13,15,3,6,15,4,6,9,8,11,7,5,5,NA,9,5,8,7,6,4,2,8,1,5,5,4,NA,3,3,4,4,5,NA,2,NA,2,NA,3,3,1,1,4,2,2,2,2,1,2,NA,1,4,1,1,1,NA,1,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,50,96448,37843,26600,18403,12217,12668,10947,7731,5793,5453,5758,4527,4593,5269,5325,2793,2381,2990,3966,3668,3005,2785,1942,2478,2840,3225,1877,1930,1983,1723,1411,1459,1057,1010,654,992,860,886,707,672,609,617,711,747,598,566,543,246,194,450,395,304,389,14,311,330,334,116,72,NA,210,132,202,45,186,11,125,114,149,136,77,133,135,1,42,112,100,41,36,13,71,59,61,13,67,1,44,46,44,20,40,19,30,35,33,9,26,13,28,5,4,28,23,22,14,2,10,11,3,1,15,5,11,9,4,9,9,4,5,NA,8,5,4,7,7,7,1,4,3,5,4,5,2,3,1,4,2,3,NA,4,2,2,NA,3,3,2,3,NA,2,1,2,3,1,2,NA,1,1,NA,1,NA,NA,1,NA,3,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,50,96265,38069,26254,18424,11752,12746,10910,7763,5876,5561,5770,4616,4796,5328,5239,2803,2452,3046,3781,3705,2952,2792,2008,2503,2795,3238,1917,1945,1983,1712,1392,1475,1004,1023,673,985,867,900,712,676,626,629,744,756,591,559,554,249,196,453,411,290,376,18,324,312,334,98,105,NA,199,144,218,35,198,13,130,114,117,141,72,136,127,NA,42,133,89,45,43,13,74,59,62,10,61,1,42,39,37,22,31,21,30,28,30,15,26,10,20,6,5,20,15,16,20,4,12,13,1,2,11,6,8,9,6,12,9,7,5,NA,4,4,9,4,7,5,1,6,NA,2,4,4,3,3,NA,3,3,4,2,3,NA,2,NA,3,3,4,1,1,2,3,1,1,2,NA,NA,1,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,40,147627,60137,30972,26192,10033,22629,11961,13717,12371,12434,12295,9909,9645,9378,6536,6186,6136,6493,4465,6018,4236,4463,4846,5359,3080,4226,3592,2602,2871,2966,2441,2143,957,2134,1969,884,1621,1903,585,1540,1482,1048,1012,844,870,825,986,734,133,801,667,656,538,10,536,384,573,79,313,NA,172,357,321,26,316,6,294,291,112,168,48,176,206,NA,22,134,187,122,26,7,89,90,96,4,88,1,73,40,49,12,41,44,45,26,36,29,25,33,36,18,29,33,17,18,15,19,13,23,12,2,22,12,10,11,8,9,12,4,14,NA,6,5,5,7,11,7,6,3,3,4,1,1,NA,2,1,4,3,6,2,6,1,2,2,5,2,5,2,3,1,NA,2,4,2,2,1,2,NA,1,1,1,NA,3,2,3,NA,1,1,NA,3,2,1,NA,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,40,148250,60014,32064,26427,10499,22380,12421,13550,11992,12095,12067,9668,9444,9218,6586,5919,5985,6298,4536,5968,4214,4405,4637,5277,3167,4323,3581,2627,2917,2956,2424,2159,971,2170,1890,926,1642,1873,606,1528,1361,1005,1023,893,861,817,982,722,142,802,736,650,518,8,535,377,591,83,326,NA,186,317,307,30,331,8,282,285,129,185,56,169,196,NA,30,145,186,123,36,9,79,92,88,6,79,1,87,41,51,12,52,48,43,35,39,31,25,36,39,25,32,31,17,20,21,15,9,23,9,1,23,16,16,12,9,11,11,4,8,NA,9,8,5,4,8,6,6,3,8,3,3,2,3,2,1,4,3,5,5,4,2,4,NA,2,3,2,4,1,3,2,2,4,2,1,3,3,3,1,1,2,NA,7,4,3,NA,2,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,40,148265,60097,32815,26578,10829,22254,12692,13318,12013,11929,11799,9453,9308,9137,6502,5812,5876,6148,4603,5937,4274,4439,4607,5236,3185,4384,3592,2666,2923,2950,2400,2210,997,2120,1869,969,1599,1877,641,1523,1398,1008,1040,880,869,807,941,683,139,752,706,631,543,12,539,391,528,78,366,NA,185,346,304,31,308,7,288,287,125,171,56,194,200,1,25,142,189,111,31,11,91,85,98,5,93,1,94,37,50,16,42,48,44,36,31,41,22,32,44,31,30,32,18,22,25,17,14,18,14,1,22,12,15,14,6,11,12,2,9,NA,9,8,5,9,7,4,5,5,4,5,3,4,2,2,6,4,4,6,6,4,NA,2,2,3,3,3,5,1,3,2,5,2,2,NA,4,2,NA,NA,1,3,5,1,2,4,NA,NA,NA,3,1,1,NA,1,1,NA,2,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,40,148454,59941,33119,26584,11113,22247,12824,13262,11885,11810,11757,9487,9244,9133,6622,5640,5957,6209,4702,5836,4278,4399,4588,5182,3251,4377,3494,2662,2903,2959,2376,2170,1041,2121,1868,1011,1552,1819,637,1472,1353,1025,1038,895,885,802,963,684,159,747,677,621,545,12,504,395,558,82,384,NA,185,321,305,32,329,6,311,274,126,182,61,185,204,NA,27,143,158,116,33,13,86,70,103,8,81,1,91,33,49,6,38,33,38,30,38,30,28,28,32,34,34,27,16,13,24,18,10,26,15,1,24,16,10,17,9,11,13,2,5,NA,4,3,5,9,7,2,10,4,5,3,2,6,2,3,2,4,2,4,5,3,1,3,6,1,2,3,3,2,2,3,2,3,2,NA,NA,2,4,NA,NA,2,3,4,5,3,NA,2,NA,1,1,1,2,1,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,148583,59832,33022,26604,11194,22185,13079,13294,11739,11757,11748,9397,9296,9084,6801,5634,5817,6123,4707,6050,4264,4404,4577,5133,3266,4398,3439,2680,2915,2915,2398,2196,1014,2107,1848,993,1569,1794,642,1404,1369,1048,1058,881,873,813,954,658,176,771,700,606,547,15,555,358,555,77,341,NA,173,326,288,25,331,10,294,274,134,186,58,175,210,1,30,155,162,114,36,9,79,77,88,8,111,1,87,35,54,18,43,44,42,25,37,22,24,30,35,28,30,28,19,17,22,10,13,18,16,4,23,11,12,18,16,9,17,4,11,NA,6,4,4,7,7,7,5,4,8,5,NA,5,2,3,5,1,4,2,4,5,1,2,6,5,4,2,4,NA,2,NA,2,5,2,NA,2,1,2,1,NA,2,1,1,2,2,1,NA,1,3,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,40,148577,59935,32915,26639,11361,22217,12939,13286,11785,11786,11781,9415,9288,9091,6796,5667,5730,6145,4608,6003,4274,4427,4485,5136,3280,4418,3645,2644,2930,2946,2375,2225,1059,2128,1809,968,1565,1858,660,1422,1343,1030,1052,863,868,832,907,635,151,812,691,601,507,10,555,382,572,81,290,NA,189,325,304,31,302,10,271,258,123,184,57,178,214,NA,40,148,159,109,36,10,86,88,101,9,86,1,80,41,41,19,42,48,45,30,43,36,22,35,35,26,19,38,15,20,20,9,11,19,15,1,22,14,12,16,10,11,14,2,8,NA,8,4,4,11,6,5,4,7,3,5,2,5,3,1,6,5,3,6,2,4,1,4,2,4,3,4,4,NA,1,1,4,3,1,NA,1,1,2,1,1,2,1,2,2,1,NA,NA,2,NA,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,40,148484,59974,32589,26634,11309,22423,12840,13460,11686,11705,11727,9521,9264,9154,6821,5798,5777,6171,4566,6016,4209,4457,4474,5189,3215,4485,3608,2676,2950,2906,2430,2194,1034,2055,1775,972,1597,1882,670,1477,1340,1029,1012,892,884,815,931,636,144,807,708,646,529,12,547,410,539,82,269,NA,181,317,315,26,312,7,298,267,130,187,62,185,185,1,24,156,153,109,36,11,82,82,90,7,91,1,84,40,45,17,37,43,49,32,36,28,28,34,41,24,18,29,20,21,24,19,15,24,10,NA,26,8,14,12,15,8,12,5,9,NA,8,4,6,9,10,6,4,6,5,3,1,8,2,1,4,2,4,4,3,5,4,5,3,4,1,4,3,3,1,2,3,4,NA,NA,NA,1,3,1,1,2,1,2,NA,3,NA,2,1,1,1,2,2,1,NA,NA,3,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,40,148579,59887,32168,26590,10773,22302,12630,13519,11832,11864,11976,9630,9357,9280,6755,5782,5873,6289,4551,6061,4302,4353,4543,5265,3251,4498,3550,2632,2935,2877,2491,2167,1058,2122,1806,963,1595,1830,594,1439,1385,1046,1051,898,872,843,988,670,153,836,669,639,529,9,543,396,590,78,265,NA,196,301,304,34,320,8,291,268,133,178,60,178,190,NA,27,151,153,113,33,8,103,88,80,7,87,1,73,31,43,13,44,44,44,30,35,33,28,24,34,25,21,27,18,17,17,16,13,23,11,3,16,13,8,15,8,12,13,4,12,NA,5,2,2,7,7,5,1,5,6,3,1,3,2,2,5,5,6,1,1,4,2,2,NA,4,4,1,8,1,2,2,3,5,1,NA,1,1,4,NA,NA,1,NA,3,2,2,NA,1,NA,NA,2,1,1,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
80,40,148007,60032,31669,26561,10555,22419,12276,13717,11908,12140,12100,9661,9379,9305,6624,5962,6104,6334,4545,5993,4301,4412,4657,5314,3225,4372,3570,2689,2929,2960,2490,2141,1011,2101,1879,914,1657,1887,581,1493,1368,1023,1017,870,871,842,987,725,143,788,714,679,529,7,540,402,542,76,280,NA,182,358,309,30,331,2,306,284,118,160,55,177,198,NA,21,131,162,117,28,10,90,80,80,5,81,NA,79,39,48,12,39,47,43,32,43,30,21,34,40,32,22,25,14,16,17,18,16,17,11,1,18,15,14,17,12,14,11,6,9,NA,7,4,9,15,6,11,4,1,8,6,2,3,1,4,3,3,4,7,4,3,3,1,2,4,4,2,2,1,1,1,5,3,1,NA,NA,1,2,1,1,3,NA,NA,3,2,NA,NA,NA,1,1,1,NA,2,NA,1,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,40,147620,60142,30979,26193,10042,22626,11963,13723,12366,12432,12286,9909,9643,9380,6539,6186,6129,6490,4466,6017,4236,4464,4848,5364,3078,4225,3595,2603,2873,2964,2442,2144,956,2132,1969,885,1621,1903,586,1540,1480,1047,1012,843,870,825,986,735,133,801,667,656,538,10,535,384,571,79,313,NA,173,357,320,25,316,6,295,291,112,169,48,176,206,NA,21,133,187,123,27,7,89,90,96,4,88,1,73,40,49,12,41,44,45,26,36,29,25,33,35,18,29,33,17,18,15,19,13,23,12,2,22,12,10,11,8,9,12,4,14,NA,6,5,5,7,11,7,6,4,3,4,1,1,NA,2,1,4,3,6,2,6,1,2,2,5,2,5,2,3,1,NA,2,4,2,2,1,2,NA,1,1,1,NA,3,2,3,NA,1,1,NA,3,2,1,NA,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,40,148250,60014,32064,26427,10499,22380,12421,13550,11992,12095,12067,9668,9444,9218,6586,5919,5985,6298,4536,5968,4214,4405,4637,5277,3167,4323,3581,2627,2917,2956,2424,2159,971,2170,1890,926,1642,1873,606,1528,1361,1005,1023,893,861,817,982,722,142,802,736,650,518,8,535,377,591,83,326,NA,186,317,307,30,331,8,282,285,129,185,56,169,196,NA,30,145,186,123,36,9,79,92,88,6,79,1,87,41,51,12,52,48,43,35,39,31,25,36,39,25,32,31,17,20,21,15,9,23,9,1,23,16,16,12,9,11,11,4,8,NA,9,8,5,4,8,6,6,3,8,3,3,2,3,2,1,4,3,5,5,4,2,4,NA,2,3,2,4,1,3,2,2,4,2,1,3,3,3,1,1,2,NA,7,4,3,NA,2,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,40,148265,60097,32815,26578,10829,22254,12692,13318,12013,11929,11799,9453,9308,9137,6502,5812,5876,6148,4603,5937,4274,4439,4607,5236,3185,4384,3592,2666,2923,2950,2400,2210,997,2120,1869,969,1599,1877,641,1523,1398,1008,1040,880,869,807,941,683,139,752,706,631,543,12,539,391,528,78,366,NA,185,346,304,31,308,7,288,287,125,171,56,194,200,1,25,142,189,111,31,11,91,85,98,5,93,1,94,37,50,16,42,48,44,36,31,41,22,32,44,31,30,32,18,22,25,17,14,18,14,1,22,12,15,14,6,11,12,2,9,NA,9,8,5,9,7,4,5,5,4,5,3,4,2,2,6,4,4,6,6,4,NA,2,2,3,3,3,5,1,3,2,5,2,2,NA,4,2,NA,NA,1,3,5,1,2,4,NA,NA,NA,3,1,1,NA,1,1,NA,2,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,40,148454,59941,33119,26584,11113,22247,12824,13262,11885,11810,11757,9487,9244,9133,6622,5640,5957,6209,4702,5836,4278,4399,4588,5182,3251,4377,3494,2662,2903,2959,2376,2170,1041,2121,1868,1011,1552,1819,637,1472,1353,1025,1038,895,885,802,963,684,159,747,677,621,545,12,504,395,558,82,384,NA,185,321,305,32,329,6,311,274,126,182,61,185,204,NA,27,143,158,116,33,13,86,70,103,8,81,1,91,33,49,6,38,33,38,30,38,30,28,28,32,34,34,27,16,13,24,18,10,26,15,1,24,16,10,17,9,11,13,2,5,NA,4,3,5,9,7,2,10,4,5,3,2,6,2,3,2,4,2,4,5,3,1,3,6,1,2,3,3,2,2,3,2,3,2,NA,NA,2,4,NA,NA,2,3,4,5,3,NA,2,NA,1,1,1,2,1,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,40,148583,59832,33022,26604,11194,22185,13079,13294,11739,11757,11748,9397,9296,9084,6801,5634,5817,6123,4707,6050,4264,4404,4577,5133,3266,4398,3439,2680,2915,2915,2398,2196,1014,2107,1848,993,1569,1794,642,1404,1369,1048,1058,881,873,813,954,658,176,771,700,606,547,15,555,358,555,77,341,NA,173,326,288,25,331,10,294,274,134,186,58,175,210,1,30,155,162,114,36,9,79,77,88,8,111,1,87,35,54,18,43,44,42,25,37,22,24,30,35,28,30,28,19,17,22,10,13,18,16,4,23,11,12,18,16,9,17,4,11,NA,6,4,4,7,7,7,5,4,8,5,NA,5,2,3,5,1,4,2,4,5,1,2,6,5,4,2,4,NA,2,NA,2,5,2,NA,2,1,2,1,NA,2,1,1,2,2,1,NA,1,3,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
